======================================
=== SHEET: Efectividad (21 rows x 16 cols) ===
======================================
 | ¿Próxima Acción? | Sí |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Tipo de Compromiso | Esta semana No |  |  |  |  |  |  |  |  |  |  |  |  | 
 | N° de Próximas acciones |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Contexto | Total |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @A la espera | 11 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Casa | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @GoPRO | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Iquique | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Oficina | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Teléfono | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Online | 17 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Offline | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Desarrollo Web | 3 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Búsqueda Internet | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Compras internet | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Email | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Ipad | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Computador | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Mac | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Grand Total | 70 |  |  |  |  |  |  |  |  |  |  |  |  | 
[20 data rows]

======================================
=== SHEET: PROYECTOS (121 rows x 2 cols) ===
======================================
¿Próxima Acción? | Sí
AREA | (Multiple Items)
Proyecto | N° Acciones
Estamos registrados en Sernatur y operando en regla | 1
Las redes sociales de ANE son visualmente atractivas y a la gente le atrae | 1
Los videos ANE están estructurados y ahora es más rápido la edición de video | 1
NO movimientos de ANE declarados | 1
Sergio tiene su VISA en regla | 1
Tenemos poleras nuevas a un buen precio | 2
Tengo un asesor de empresa para todos los temas relacionados con ANE | 1
Seguimos generando videos de experiences | 3
Mi cuenta de Cairo está cerrada | 1
Hago acciones de bajo costo que generan gran impacto en nuestro negocio de ANE | 1
Tenemos todas las facturas relacionadas con ANE en orden | 1
El branding personal de ANE está muy trabajado y su estrategia está completamente definida | 1
Seguimos agregando nuevos facilitadores en la tribu de ANE | 1
Seguimos ampliando la visibiliad de ANE en internet | 2
Tenemos cuenta de paypal de empresa y está integrada en nuestra web | 1
Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente | 1
Tengo un contador para ANE en el que confío y es muy bueno haciendo su trabajo | 3
Tenemos un formulario de clientes para nuestras propias actividades | 1
Tenemos un lugar seguro donde guardar nuestra  material de experiencias: Paddles y otros. A poder ser junto a la furgoneta!! | 1
La furgoneta está ploteada con ANE y Red Paddle y se ve bakan | 2
Sergio tiene su contrato de ANE en regla | 1
Sergio tiene su carnet de conducir chileno | 1
Sergio se encuentra en contínuo aprendizaje y cada día lee más porque le encanta aprender | 1
Sergio es PADI open water | 1
ANE tiene una estrategia definida en conjunto con Pisagua Sumergido para meter paddles en Pisagua | 1
ANE tiene Red Paddle en 3 tiendas de Iquique y nos los han comprado | 1
Tenemos 2 banderas de ANE y las hemos hecho en Perú | 1
Tenemos 2 banderas de Red Paddle y las hemos hecho en Perú | 1
Tenemos una polera de surftrips para hombre brutal!!! | 1
Sergio cada vez sabe más sobre la flora y fauna de la región convirtiéndose en un guía increíble | 1
Nuestras actividades ANE están super bien definidas con precios claros, rutas concretas y tiempos medidos; listas para poder enviar a clientes | 1
ANE tiene pequeños souvenirs que la gente puede comprar | 1
Sergio controla sus gastos y tiene visibilidad sobre dónde se va el dinero y se está preparando a conciencia para cuando tenga lucas!! | 1
Sergio ha cancelado su tarjeta de la Kutxa | 1
En el Marley coffe hay videos de ANE dando vueltas todo el día | 1
Sergio tiene su portátil impeke, con todos los archivos donde tienen que estar y todo lo es necesario está archivado o ya se eliminó | 1
Las tomas que grabamos en ANE son más profesionales y bakanes | 1
La furgoneta del Equipo A de ANE está full equipada para experiences | 2
Sergio tiene Fan Page de atleta bodyboarder y está increíble, se ve excelente y tiene muchas visitas. Está ligada a ANE | 1
Sergio está federado y compite en campeonatos de boadyboard internacionales | 3
ANE tiene clientes que pagan buenas lucas por experiencias | 1
Sergio tiene el certificado de primeros auxilios en Chile | 1
ANE tiene una red inmensa de colaboradores que se sienten parte de ANE | 1
Grand Total | 53
[47 data rows]

======================================
=== SHEET: LISTA de Proyectos y Acciones (863 rows x 26 cols) ===
======================================
Contador | AREA | OBJETIVO | Proyecto | Subproyecto | Acción | ¿Próxima Acción? | Contexto | Contacto | Tiempo | Energía | Fecha inicio | Fecha objetivo | ¿Fecha límite? | Tipo de Compromiso | ¿Activa? | Completada | Fecha finalización | Notas |  |  |  |  |  |  | 
144 | TALLERES PRESENCIALES | Estoy impartiendo talleres salas arrendadas en Santiago y todo es un éxito | Estoy publicitando mis talleres presenciales en diferentes web, facebook y demás |  | Actualizar la información sobre mis talleres publicados en tusclasesparticulares.cl/ | No | @Online |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L145="",O145=""),"",IF(AND(O145="Comprometida",(OR(L145<=TODAY(),L145="")),OR(Q145="",Q145="No"),G145="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
145 | VIVIR CON ABUNDANCIA |  | Estoy modelando lo que hace la gente que tiene éxito | He identificado la gente que considero tiene éxito y estudio su éxito | Analizar qué es lo que percibo de ellos, siguiendo las preguntas de libro de Marca Personal | Sí | @Ipad |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L146="",O146=""),"",IF(AND(O146="Comprometida",(OR(L146<=TODAY(),L146="")),OR(Q146="",Q146="No"),G146="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
146 | MARCA PERSONAL |  | Completar cuaderno de trabajo de Los 7 Hábitos de la Gente Altamente Efectiva |  | Contestar preguntas de los 7 hábitos: Panorama General | Sí | @Mac |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L147="",O147=""),"",IF(AND(O147="Comprometida",(OR(L147<=TODAY(),L147="")),OR(Q147="",Q147="No"),G147="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
147 | COACHING |  | Estoy ejercitando como coach |  | Sesión de coaching con Cristina a las 13:30 el 9 de septiembre | No | @Casa |  | 5. >2h' | Media | 2016-08-09 00:00:00 | 2016-08-09 00:00:00 | Sí | Comprometida | =IF(AND(L148="",O148=""),"",IF(AND(O148="Comprometida",(OR(L148<=TODAY(),L148="")),OR(Q148="",Q148="No"),G148="Sí"),"Sí","No")) | No | 2016-09-15 00:00:00 | 2a sesión completada |  |  |  |  |  |  | 
148 | VIDA SALUDABLE |  | Tengo aparato en la boca |  | Cita con la doctora ortodoncia 9 Sept 10am | No | @Calle |  | 4. 1h-2h' | Baja | 2016-08-09 00:00:00 | 2016-08-09 00:00:00 | Sí | Comprometida | =IF(AND(L149="",O149=""),"",IF(AND(O149="Comprometida",(OR(L149<=TODAY(),L149="")),OR(Q149="",Q149="No"),G149="Sí"),"Sí","No")) | No | 2016-09-09 00:00:00 | 2a cita conclusa: me voy a pongo aparato |  |  |  |  |  |  | 
149 |  |  |  |  | Dar 4 lucas a Sandra por el aseo del 28-8-16 | No | @Casa |  | 1. <15' | Baja | 2016-08-09 00:00:00 | 2016-08-09 00:00:00 | Sí | Comprometida | =IF(AND(L150="",O150=""),"",IF(AND(O150="Comprometida",(OR(L150<=TODAY(),L150="")),OR(Q150="",Q150="No"),G150="Sí"),"Sí","No")) | No | 2016-09-12 00:00:00 | Le doy 5 lucas |  |  |  |  |  |  | 
150 |  |  |  |  | Apuntarme al Master de Emprendedores de Sergio Fernandez | Sí | @Online |  | 5. >2h' | Alta |  |  | No | Tal vez nunca | =IF(AND(L151="",O151=""),"",IF(AND(O151="Comprometida",(OR(L151<=TODAY(),L151="")),OR(Q151="",Q151="No"),G151="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
151 |  |  |  |  | Buscar audiovisuales de biografías de la gente que quiero modelar (según 9 GENTE A MODELAR de MI DOCUMENTO) | Sí | @Online |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L152="",O152=""),"",IF(AND(O152="Comprometida",(OR(L152<=TODAY(),L152="")),OR(Q152="",Q152="No"),G152="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
152 |  |  | Hablo más claro y vocalizo mejor |  | Buscar en internet curso para aprender a vocalizar | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L153="",O153=""),"",IF(AND(O153="Comprometida",(OR(L153<=TODAY(),L153="")),OR(Q153="",Q153="No"),G153="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
153 |  |  | Controlo mi voz y canto canciones muy bien con mi registro de voz |  | Buscar groupon de canto de clases de canto, en mi correo, archivarlo y guardar teléfono | Sí | @Búsqueda Internet |  | 1. <15' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L154="",O154=""),"",IF(AND(O154="Comprometida",(OR(L154<=TODAY(),L154="")),OR(Q154="",Q154="No"),G154="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
154 |  |  |  |  | Reservar cita para clases de canto de acuerdo a groupon | No | @Teléfono |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L155="",O155=""),"",IF(AND(O155="Comprometida",(OR(L155<=TODAY(),L155="")),OR(Q155="",Q155="No"),G155="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
155 |  |  |  |  | Descargar de internet la moraleja de la gallina de los huevos de oro de Esopo | Sí | @Búsqueda Internet |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L156="",O156=""),"",IF(AND(O156="Comprometida",(OR(L156<=TODAY(),L156="")),OR(Q156="",Q156="No"),G156="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
156 | GTD |  | Mi correo electrónico está automatizado y centralizado |  | Leer curso de Berto de cómo automatizar mi correo: está en ARCHIVO DIGITAL\4. My Reference\3. JOXCORTINAT\Automatizar Correo Electrónico | Sí | @Computador |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L157="",O157=""),"",IF(AND(O157="Comprometida",(OR(L157<=TODAY(),L157="")),OR(Q157="",Q157="No"),G157="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
157 | MAIL MARKETING |  | Preparado mi Estrategia completa de mail marketing |  | Listar las personas que me envían correos y que quiero modelar su estrategia de mail marketing | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L158="",O158=""),"",IF(AND(O158="Comprometida",(OR(L158<=TODAY(),L158="")),OR(Q158="",Q158="No"),G158="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
158 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Leer 1a parte de curso de Berto de Berto de Curso Prepárate y Consigue - Planificar que está en ARCHIVO DIGITAL\4. My Reference\3. JOXCORTINAT | No | @Computador |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L159="",O159=""),"",IF(AND(O159="Comprometida",(OR(L159<=TODAY(),L159="")),OR(Q159="",Q159="No"),G159="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
159 | AUSENCO |  |  |  | Pedir taxi de ida del corporativo el jueves a terminal de bus; y taxi de aeropuerto el domingo al hotel que reserve | No | @Email |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L160="",O160=""),"",IF(AND(O160="Comprometida",(OR(L160<=TODAY(),L160="")),OR(Q160="",Q160="No"),G160="Sí"),"Sí","No")) | No | 2016-08-31 00:00:00 | Pedido y agendado |  |  |  |  |  |  | 
160 |  |  | Tengo mis tarjetas de coach y conferencista |  | Pedir a Sergio si puede diseñar mis tarjetas de coach | Sí | @Teléfono |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L161="",O161=""),"",IF(AND(O161="Comprometida",(OR(L161<=TODAY(),L161="")),OR(Q161="",Q161="No"),G161="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
161 |  |  | Tengo mis tarjetas de coach y conferencista |  | Enviar a hacer mis tarjetas de Coach | No | @Email |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L162="",O162=""),"",IF(AND(O162="Comprometida",(OR(L162<=TODAY(),L162="")),OR(Q162="",Q162="No"),G162="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
162 |  |  | Tengo mis tarjetas de coach y conferencista |  | Ir a recoger mis tarjetas de coach | No | @Calle |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L163="",O163=""),"",IF(AND(O163="Comprometida",(OR(L163<=TODAY(),L163="")),OR(Q163="",Q163="No"),G163="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
163 |  |  | Soy conferenciante y me llaman para hacer conferencias |  | Actualizar mi perfil de linkedin resaltando que soy coach y que hago cursos de mis cosas | No | @Online |  | 4. 1h-2h' | Alta |  |  | No | Esta semana No | =IF(AND(L164="",O164=""),"",IF(AND(O164="Comprometida",(OR(L164<=TODAY(),L164="")),OR(Q164="",Q164="No"),G164="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
164 |  |  | Soy conferenciante y me llaman para hacer conferencias |  | Ver cómo tienen el perfil de linkedin la gente que quiero modelar | Sí | @Online |  | 2. 15'-30' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L165="",O165=""),"",IF(AND(O165="Comprometida",(OR(L165<=TODAY(),L165="")),OR(Q165="",Q165="No"),G165="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
165 |  |  | Soy conferenciante y me llaman para hacer conferencias |  | Contectar en Linkedin con Pedro Lisperguer (contacto Magda) Coach y Speaker Motivacional | No | @Online |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L166="",O166=""),"",IF(AND(O166="Comprometida",(OR(L166<=TODAY(),L166="")),OR(Q166="",Q166="No"),G166="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
166 |  |  | Soy conferenciante y me llaman para hacer conferencias |  | Enviar mensaje a Pedro Lisperguer para entrar en la red de conferencistas | No | @Online |  | 2. 15'-30' | Alta |  |  | No | Esta semana No | =IF(AND(L167="",O167=""),"",IF(AND(O167="Comprometida",(OR(L167<=TODAY(),L167="")),OR(Q167="",Q167="No"),G167="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
167 |  |  | Soy conferenciante y me llaman para hacer conferencias |  | Arreglar la transcripción de las conferencias de Sergio Fernandez en el mac | No | @Mac |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L168="",O168=""),"",IF(AND(O168="Comprometida",(OR(L168<=TODAY(),L168="")),OR(Q168="",Q168="No"),G168="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
168 |  |  |  |  | Pasar correo de Ibai a hoja de "Opiniones de los Demás" | Sí | @Online |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L169="",O169=""),"",IF(AND(O169="Comprometida",(OR(L169<=TODAY(),L169="")),OR(Q169="",Q169="No"),G169="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
169 |  |  | Desarrollado mi curso: Gestiona tu más preciado activo: Tu vida |  | Leer the 55000 anatomy para asociar gestión de activos con gestión de vida | Sí | @Casa |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L170="",O170=""),"",IF(AND(O170="Comprometida",(OR(L170<=TODAY(),L170="")),OR(Q170="",Q170="No"),G170="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
170 |  |  | Desarrollado mi curso: Gestiona tu más preciado activo: Tu vida |  | Leer 2014 Asset Management Strategy en ARCHIVO DIGITAL\4. My Reference\1. AUSENCO | No | @Casa |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L171="",O171=""),"",IF(AND(O171="Comprometida",(OR(L171<=TODAY(),L171="")),OR(Q171="",Q171="No"),G171="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
171 | LIBERTAD FINANCIERA |  | Tengo control sobre mis finanzas y sé cuál es la salud financiera, mi colchón en caso de no tener ingresos, etc |  | Agregar a mi excel de libertad financiera todo lo que aparece en mis nóminas, Seguros, impuestos y toda la ostia | No | @Computador |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L172="",O172=""),"",IF(AND(O172="Comprometida",(OR(L172<=TODAY(),L172="")),OR(Q172="",Q172="No"),G172="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
172 | ANE |  | Tenemos conexiones y alianzas estratégicas más allá de Iquique |  | Hablar con atacamaconnection en instagram para q nos envien gente desde san pedro y nosotros a ellos | No | @Teléfono |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L173="",O173=""),"",IF(AND(O173="Comprometida",(OR(L173<=TODAY(),L173="")),OR(Q173="",Q173="No"),G173="Sí"),"Sí","No")) | No | 2016-08-28 00:00:00 | Enviado mensaje por facebook |  |  |  |  |  |  | 
173 | ANE |  | Tenemos poleras nuevas a un buen precio |  | Seleccionar posibles suministradores de poleras en China (mujer, niño, hombre) | No | @Online |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L174="",O174=""),"",IF(AND(O174="Comprometida",(OR(L174<=TODAY(),L174="")),OR(Q174="",Q174="No"),G174="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
174 |  |  |  |  | Hablar con la embajada para saber cómo hago para transferir a España lo que he generado de seguridad social en Chile | Sí | @Teléfono |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L175="",O175=""),"",IF(AND(O175="Comprometida",(OR(L175<=TODAY(),L175="")),OR(Q175="",Q175="No"),G175="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
175 |  |  | Las cuentas entre Iker, los aitas y yo están claras: respecto pagos en Amazon con tarjeta de la ama, el vuelo a Chile de los aitas, lo que me debe Iker, y lo que iker debe a los aitas |  | Cuánto he pagado con la tarjeta de la ama en Amazon | No | @Online |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L176="",O176=""),"",IF(AND(O176="Comprometida",(OR(L176<=TODAY(),L176="")),OR(Q176="",Q176="No"),G176="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
176 |  |  | Las cuentas entre Iker, los aitas y yo están claras: respecto pagos en Amazon con tarjeta de la ama, el vuelo a Chile de los aitas, lo que me debe Iker, y lo que iker debe a los aitas |  | Enviar correo a Iker con lo que gasté de la tarjeta de la ama y lo que me costaron los vuelos. Para que el haga las cuentas | No | @Email |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L177="",O177=""),"",IF(AND(O177="Comprometida",(OR(L177<=TODAY(),L177="")),OR(Q177="",Q177="No"),G177="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
177 |  |  |  |  | Preguntar a Iker a ver si ha ido a mira lo de Ibercaja. Decirle que Sergio y yo ya tenemso el dinero en Kutxa | No | @Teléfono |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L178="",O178=""),"",IF(AND(O178="Comprometida",(OR(L178<=TODAY(),L178="")),OR(Q178="",Q178="No"),G178="Sí"),"Sí","No")) | No | 2016-08-31 00:00:00 | Enviado mensaje por wasap |  |  |  |  |  |  | 
178 |  |  | Mi correo electrónico está automatizado y centralizado |  | Quitar la recepción automática del correo electrónico | No | @Email |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L179="",O179=""),"",IF(AND(O179="Comprometida",(OR(L179<=TODAY(),L179="")),OR(Q179="",Q179="No"),G179="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
179 | AUSENCO |  |  |  | Avisar a Osvaldo que no hay apoyo Instrumentación en cambio de Trafo Rotor (en el de Estator sí) | Sí | @Email | Osvaldo@ | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L180="",O180=""),"",IF(AND(O180="Comprometida",(OR(L180<=TODAY(),L180="")),OR(Q180="",Q180="No"),G180="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
180 | AUSENCO |  |  |  | Avisar a Osvaldo que pauta "37002 SA Elec Apoyo Parc Comp PP81,85 FL" no aplica, no hay apoyo eléctrico | Sí | @Email | Osvaldo@ | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L181="",O181=""),"",IF(AND(O181="Comprometida",(OR(L181<=TODAY(),L181="")),OR(Q181="",Q181="No"),G181="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
181 | AUSENCO |  |  |  | Avisar a Osvaldo que pauta "SA Elec Apoyo Camb Conj Agit TK91 Cal FL" la eliminamos" porque hace referencia al AG52, que ya está en pauta "SA Elec Apoyo Camb Conj Agit TK53&56 FL" | Sí | @Email | Osvaldo@ | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L182="",O182=""),"",IF(AND(O182="Comprometida",(OR(L182<=TODAY(),L182="")),OR(Q182="",Q182="No"),G182="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
182 |  |  |  |  | Descargar curso completo de victorcamon.com. Parece que está aprendiendo, comparte un curso: 7 días, aprende a potenciar tus objetivos  | Sí | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L183="",O183=""),"",IF(AND(O183="Comprometida",(OR(L183<=TODAY(),L183="")),OR(Q183="",Q183="No"),G183="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
183 |  |  | He definido mi micro nicho en el que me voy a centrar |  | Investigar sobre Daniel Eisenman (viajero, coach, cuidado del cuerpo, vida y comida saludable) | No | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L184="",O184=""),"",IF(AND(O184="Comprometida",(OR(L184<=TODAY(),L184="")),OR(Q184="",Q184="No"),G184="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
184 |  |  | Estamos haciendo facebook live videos y a la gente de la fan page le gusta y atráe a más seguidores |  | Hacer un live facebook video de prueba para saber cómo funciona | Sí | @Teléfono |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L185="",O185=""),"",IF(AND(O185="Comprometida",(OR(L185<=TODAY(),L185="")),OR(Q185="",Q185="No"),G185="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
185 |  |  | He definido mi micro nicho en el que me voy a centrar |  | Ver el profile en facebook de Daniel Eisenman: The Freedom Catalyst | No | @Online |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L186="",O186=""),"",IF(AND(O186="Comprometida",(OR(L186<=TODAY(),L186="")),OR(Q186="",Q186="No"),G186="Sí"),"Sí","No")) | Sí | 2016-09-24 00:00:00 | He agregado a Archivo la Fan Page, de momento no hay ninguna acción |  |  |  |  |  |  | 
186 |  |  |  |  | ver video de Daniel Eisenman youtube.com/watch?v=5I81MK2HPDg | No | @Online |  | 1. <15' | Media |  |  | No | Esta semana No | =IF(AND(L187="",O187=""),"",IF(AND(O187="Comprometida",(OR(L187<=TODAY(),L187="")),OR(Q187="",Q187="No"),G187="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
187 |  |  | Libros de Ramón Samsón están en mi ipad |  | Comprar el libro de la relaciones de Ramón Samsó | No | @Compras internet |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L188="",O188=""),"",IF(AND(O188="Comprometida",(OR(L188<=TODAY(),L188="")),OR(Q188="",Q188="No"),G188="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
188 |  |  | Realizada la Prueba de grabar con micrófono y cámara y he editado el video y el resultado es buenísimo |  | Grabarme hablando sobre temas, sin más, hablando del flow y cómo vivir. Sin pretensiones de subir el video al tiro | Sí | @GoPRO |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L189="",O189=""),"",IF(AND(O189="Comprometida",(OR(L189<=TODAY(),L189="")),OR(Q189="",Q189="No"),G189="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
189 |  |  | Tengo estadísticas sobre el avance de mi proyecto de desarrollo personal |  | Hacer un pronóstico de horas que llevo trabajadas en mi proyecto personal e ir sumándolas diariamente. Hacer pronóstico de horas trabajadas al año | Sí | @Computador |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L190="",O190=""),"",IF(AND(O190="Comprometida",(OR(L190<=TODAY(),L190="")),OR(Q190="",Q190="No"),G190="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
190 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | GENERAL | Entender de qué se trata el my.wealthyaffiliate.com. Visitar web | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L191="",O191=""),"",IF(AND(O191="Comprometida",(OR(L191<=TODAY(),L191="")),OR(Q191="",Q191="No"),G191="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
191 |  |  |  |  | Hacer ejercicio de relajarme y definir mi marca, con logo y todo, según lo que sugería el que viajó a India. Hacerlo con su video de youtube | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L192="",O192=""),"",IF(AND(O192="Comprometida",(OR(L192<=TODAY(),L192="")),OR(Q192="",Q192="No"),G192="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
192 |  |  |  |  | Buscar eventos de networking de emprendedores y gente de desarrollo personal | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L193="",O193=""),"",IF(AND(O193="Comprometida",(OR(L193<=TODAY(),L193="")),OR(Q193="",Q193="No"),G193="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
193 | ANE |  | Tenemos poleras nuevas a un buen precio |  | Pedir a Sergio que decida algo al respecto del diseño de la polera de Pisagua | No | @Teléfono | Sergio@ | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L194="",O194=""),"",IF(AND(O194="Comprometida",(OR(L194<=TODAY(),L194="")),OR(Q194="",Q194="No"),G194="Sí"),"Sí","No")) | No | 2016-08-28 00:00:00 |  |  |  |  |  |  |  | 
194 |  |  |  |  | Comprar Libro en Amazon "Quién Soy Yo Para Hacer Esto: Una guía para conseguir tus más ambiciosos sueños empresariales algún día", ya que no tiene ebook | Sí | @Zarautz |  | 1. <15' | Baja |  |  | No | Tal vez nunca | =IF(AND(L195="",O195=""),"",IF(AND(O195="Comprometida",(OR(L195<=TODAY(),L195="")),OR(Q195="",Q195="No"),G195="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
195 | ANE |  | Tenemos poleras nuevas a un buen precio |  | Esperar a que Nahu me envíe diseño de polera de mujer | Sí | @A la espera | Nahu@ |  |  |  |  | No | Comprometida | =IF(AND(L196="",O196=""),"",IF(AND(O196="Comprometida",(OR(L196<=TODAY(),L196="")),OR(Q196="",Q196="No"),G196="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
